"Reporter","Partner","Product.categories","Indicator.Type","Indicator","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988"
"Japan","World","Capital goods","Export","Export(US$ Mil)","349675.66","340114.982992016","318422.187098673","308281.763416095","346748.241831055","365859.650647981","438004.003956663","463117.394738885","439328.959408047","328812.476143385","440549.135190542","418602.60104111","400553.256543878","393393.189288023","399285.28744775","336688.335694609","299118.275383906","305364.541129127","392874.294587168","336800.744627465","318681.453792838","362168.84857985","371843.058521495","413196.850422175","370761.722325677","332470.344998819","308799.907041839","289054.469965018","271008.837600776","270577.911932921","264186.881450748"
"Japan","World","Chemicals","Export","Export(US$ Mil)","61178.32","55289.281916926","50100.6499115885","49505.3454035256","57649.7439167676","62500.3540147045","64722.1009553574","70370.6827554209","65459.092782086","53431.9230558359","61828.8607314462","60182.1752694584","55676.8158954846","53265.920670987","51158.7626569178","43499.3953347144","38145.4277844916","36348.9622972056","41801.2008055948","37791.9483453633","34338.4444571296","38212.5847331833","37591.2922557485","39798.3079637219","32593.7542196062","28900.9532439539","28265.5593021701","26579.9420780475","24891.954156245","24267.5399291348","23557.2863975011"
"Japan","World","Consumer goods","Export","Export(US$ Mil)","186707.98","176462.908801634","172195.476120487","165709.742060681","179076.803613029","188734.430559751","203239.239433239","202390.765864633","199973.385864847","151105.543163117","239839.989884625","220013.402749406","200169.63720416","182965.259026079","175378.652471532","159335.572039419","147913.831035627","135387.442319359","153475.119105213","148907.798695659","137660.320854154","139884.511888844","128824.391254754","138950.147272991","140356.674633382","145147.82575031","152708.341258278","143918.68873489","137028.740471714","132976.325472472","138145.580692381"
"Japan","World","Food Products","Export","Export(US$ Mil)","4284.28","3704.51420495144","3609.60693569921","3143.33170539765","2910.83500403169","2883.92369261336","3124.3076374293","3216.22223092569","3315.65526632224","2848.44582609396","2708.98223845058","2440.60411628734","2214.6518746224","2213.67128786412","2111.84206576344","1913.23265027908","1877.27499003997","1851.81186255444","1941.81482989635","1992.28943519116","1758.19390089107","2105.19120705228","2023.77352978949","2301.84089639484","2182.68058639516","2198.77263582534","2071.54463532104","1981.85952185764","1833.98275220735","1909.78762314993","1937.6808723719"
"Japan","World","Fuels","Export","Export(US$ Mil)","13366.74","11654.1893185644","9782.95503653863","12008.7813786491","16877.608498934","18129.1240220145","14855.4224457256","18363.0294094574","15012.352726638","12256.9673996863","22021.0960467602","11095.7224071365","7240.21796798068","5634.38912754563","2984.50375303166","2088.13213325569","1915.17465663152","2091.44065807785","2152.63874049184","1774.55177720149","1816.85862750287","2838.48041547503","2945.47825425876","3836.56561482829","3618.13336716178","3166.5226783308","2619.31934400363","2179.91780288685","2187.92082620203","1738.5357117353","1079.72019390347"
"Japan","World","Intermediate goods","Export","Export(US$ Mil)","145564.82","142401.254787936","133438.150971591","137596.689616303","162017.351915503","172029.924546807","189408.419249025","204915.718331065","189081.550472123","146506.286560674","181467.646140493","162814.642401557","147290.893407163","135882.85416538","126210.654587375","106058.240155305","94741.6765879715","91045.6380571682","105264.962057918","95292.2243214154","92059.0861157554","101139.205200952","100115.603132856","109960.981232705","93628.0980340222","87235.469616488","85448.5677505214","83630.3359488735","79022.8750140326","82161.8565485738","84722.4889161157"
"Japan","World","Mach and Elec","Export","Export(US$ Mil)","245614.31","239139.779284001","222218.391989525","217711.944516416","244418.248197954","256973.562558299","305269.749437196","338964.114368712","323697.665118412","243717.429667334","339747.887684743","328003.269055805","311813.702261454","305805.744166919","311171.173339836","266426.225439312","237427.263624361","240914.414890381","314865.822050747","268576.099881021","253803.656734717","288488.760514565","296330.856650212","330292.004626515","291180.916380808","262172.915808296","247488.542131867","235697.233079022","220475.615640564","221488.303791693","217257.370379029"
"Japan","World","Metals","Export","Export(US$ Mil)","58858.72","55718.8675629877","51137.0898945252","56431.0228864113","68240.9423854319","72976.9771400915","83240.9196262719","86573.8350636524","81028.6798348668","61874.3805268573","83752.3793278144","71565.2884987868","64240.7176058075","57885.3494375826","51818.2250086891","40809.602550876","36159.4879836519","33695.3481332341","37870.8346883948","34956.9860841753","36583.4057691161","40237.9976154414","38978.9186353338","44493.9692280372","38330.0986267486","37037.1965676414","35310.5520631048","35602.6139015478","34072.8785521646","39066.4436645793","40707.8310496418"
"Japan","World","Plastic or Rubber","Export","Export(US$ Mil)","36831.81","36371.4515331556","34725.1026390399","34647.7511574477","40054.6280169402","42588.2922184639","48035.3784768937","51148.7671739033","48482.5158055274","36569.0529982543","41756.8977123852","38900.0342035798","35453.1775251419","32908.4779177605","30340.4592579266","25574.5958642618","22462.1692079425","20502.3908447939","24530.7060249998","22803.5673316974","20843.6478685992","22807.9709885624","22957.7773381723","24427.965900371","20055.8569567779","17698.9942037715","17120.3617347585","16125.1862512005","15791.212885332","15316.911489793","15162.3106987426"
"Japan","World","Raw materials","Export","Export(US$ Mil)","10639.73","10996.253451409","9287.83500964184","8724.01520584567","10065.5169780269","11582.1297432042","13178.0245085824","12896.140204425","11187.2559900935","9612.71027903097","11336.928175659","10063.0786528457","8790.59091515169","7190.30498203077","6187.31966056877","4327.28216133151","3503.60452749353","4840.76221097334","3294.09881856954","3244.83841641954","3303.11493488096","3457.27859289546","2985.60952666725","2432.91702853382","2283.31214446813","2193.42985080363","2374.03531955261","2002.82446967142","2002.56356105261","2197.89801930264","2132.83448849647"
"Japan","World","Stone and Glass","Export","Export(US$ Mil)","19273.06","22652.6144121263","21810.2600425734","17625.7653019783","18960.7636538935","20855.7360681172","25730.0573851977","31635.4133956755","25231.5905370054","17655.8573745474","20997.048852237","17027.951050561","15135.0525798231","11859.2288931584","10816.4164279239","9221.26650712772","7867.55058651931","8258.63576923837","9866.26443456163","8355.98306799245","8112.41808350261","8589.81288527157","8819.39105973532","9094.81259290456","7811.41865997534","6785.75413195438","6786.43771118861","6353.00074452131","6355.06405685956","6174.79800947127","6389.72220808153"
"Japan","World","Textiles and Clothing","Export","Export(US$ Mil)","7820.57","7742.42669834437","7952.96394351453","8268.45545113577","8985.4217048455","9312.73862935383","10574.4163811017","11118.5024426353","9905.12116319809","8615.41786336116","10240.1201034637","10098.8874273378","9944.0367613634","10202.0459476629","10866.2794561635","10104.7647224825","9716.59864704958","10131.4018125129","11583.1069535746","11051.2214031531","10420.1274455856","11977.2947274301","12561.0580445261","13384.9517843645","12836.8229447781","12932.5560996311","13814.1025863729","13044.9516108684","12223.7845502183","12103.4833298396","12710.7858427841"
"Japan","World","Transportation","Export","Export(US$ Mil)","172658.51","168050.335870822","168161.499975725","159886.879866884","172263.613567227","183750.881057362","209966.180828887","200874.464543041","202597.344814862","149416.432456741","229497.108528717","214214.497526469","194835.049918994","176785.284907707","172276.084336699","155251.070397955","143169.592245773","128271.654773059","143743.767244367","138637.047632885","133640.597335914","135944.448918591","128092.630139263","139678.520675894","147247.29725714","146989.27356566","144140.235552155","131770.106234916","125658.801132877","120897.327292302","124399.711153903"
"Japan","World","Vegetable","Export","Export(US$ Mil)","1138.45","1055.0595604697","1029.25843046259","902.835837337916","881.806197040002","869.897761227238","863.623190691947","901.204440762778","851.216765834741","729.296922155372","782.894846571089","693.673949408259","609.288624785241","593.574916293446","616.159905065811","592.807184642486","568.836068587059","1812.89695550281","581.95387009803","674.20776078142","737.230835778521","605.370583748131","622.321805982125","636.455476690792","635.929867922193","633.882134046886","715.403525714001","718.335042840533","760.359016468838","743.418870993241","914.299278767654"
"Japan","World","Wood","Export","Export(US$ Mil)","6284.27","6209.10392808438","5725.36745035706","5680.50966337118","5480.14608399933","5388.42377802052","5562.82320224078","5999.6711365665","6366.47092011828","4930.03462329765","5850.62429930661","5154.78966093069","4684.2308857842","4701.26714766446","4769.62103265809","4201.45847140332","3929.73702784889","3553.25807642293","4544.89388185463","4206.96433979735","3619.74876351655","4030.78834873752","3917.52838522844","4834.95369585119","4376.56165685309","4213.25929940043","4627.498118448","4693.91406504663","4538.22246652821","3984.46714459201","4097.21487699556"
"Japan","World","All Products","Export","Exports (in US$ Mil)","738201.19","715102.492739142","673200.023273708","659394.554076385","736136.96462418","777100.885877121","883095.952449862","927715.354120252","885644.914505402","675917.492462217","916444.786997009","854062.634020324","794007.742602923","752534.739296779","737916.916052422","632208.282465966","568535.095028861","558977.82703081","678776.99580522","604664.513110686","570102.667532772","625412.26249074","620927.078059606","681517.939982718","621446.055424714","579060.153871536","557860.655057764","528366.039888531","498339.667572635","495782.949738893","496013.256590906"
"Japan","World","Other Categories","Export","Export(US$ Mil)","110892.18","107514.847961519","96946.8979007654","93581.9414602785","99413.1860665349","100870.964069788","111150.972882869","108549.458429345","103697.220275791","83872.2537480531","97260.8631689954","94685.7288983785","92160.788424321","90679.7722267344","88987.3627259356","72525.7178156073","65295.968563176","71545.6109578267","85293.9922806399","73843.6750097543","64428.3377105195","69573.5764062138","66086.0519613563","68737.6376861308","60576.6163184544","56330.0895474234","54901.1147771963","53618.9963546131","49549.8889038993","48091.8968475407","47799.323639184"
